course,equivalent_course
ANTH 20100,ANTH 40100
ANTH 20100,LACS 20100
ANTH 20100,LACS 40305
ANTH 20405,MAPS 36900
ANTH 20405,ANTH 30405
ANTH 20405,CHDV 30405
ANTH 20405,HMRT 25210
ANTH 20405,HMRT 35210
ANTH 20405,SOSC 36900
ANTH 20701,HIST 10101
ANTH 20701,CRES 20701
ANTH 20702,HIST 10102
ANTH 20702,CHDV 21401
ANTH 20702,CRES 20802
ANTH 21102,ANTH 38400
ANTH 21102,EVOL 38400
ANTH 21102,HIPS 23600
ANTH 21107,ANTH 30000
ANTH 21201,CRES 21201
ANTH 21217,AFAM 21217
ANTH 21230,LACS 20400
ANTH 21230,ANTH 30705
ANTH 21230,CHDV 20400
ANTH 21230,CHDV 30401
ANTH 21230,CRES 20400
ANTH 21230,LACS 30401
ANTH 21251,ANTH 32200
ANTH 21254,LACS 21254
ANTH 21255,AFAM 21255
ANTH 21264,CRES 21264
ANTH 21303,ENST 21301
ANTH 21305,ANTH 45300
ANTH 21305,HCUL 45300
ANTH 21322,ANTH 46510
ANTH 21406,ANTH 38300
ANTH 21406,HIPS 21100
ANTH 22000,ANTH 35500
ANTH 22000,ENST 22000
ANTH 22105,ANTH 32300
ANTH 22105,HIPS 21301
ANTH 22205,ANTH 31700
ANTH 22205,CRES 22205
ANTH 22205,LACS 22205
ANTH 22205,LACS 31700
ANTH 22400,ANTH 34900
ANTH 22400,HIPS 21200
ANTH 22530,ANTH 32530
ANTH 22535,ANTH 32535
ANTH 22606,ANTH 33106
ANTH 22609,ANTH 33107
ANTH 22710,ANTH 41810
ANTH 22715,ANTH 43720
ANTH 22910,SALC 22900
ANTH 23101,LACS 16100
ANTH 23101,CRES 16101
ANTH 23101,HIST 16101
ANTH 23101,HIST 36101
ANTH 23101,LACS 34600
ANTH 23101,SOSC 26100
ANTH 23102,LACS 16200
ANTH 23102,CRES 16102
ANTH 23102,HIST 16102
ANTH 23102,HIST 36102
ANTH 23102,LACS 34700
ANTH 23102,SOSC 26200
ANTH 23103,LACS 16300
ANTH 23103,CRES 16103
ANTH 23103,HIST 16103
ANTH 23103,HIST 36103
ANTH 23103,LACS 34800
ANTH 23103,SOSC 26300
ANTH 23600,ANTH 33610
ANTH 23600,HIPS 22601
ANTH 23620,ANTH 33620
ANTH 23620,CHDV 23620
ANTH 23620,CHDV 33620
ANTH 23630,ANTH 43105
ANTH 23715,ANTH 43715
ANTH 23805,ANTH 43805
ANTH 23805,CHSS 32805
ANTH 23805,HIPS 26203
ANTH 24001,CRES 24001
ANTH 24001,HIST 18301
ANTH 24001,SOSC 24001
ANTH 24002,CRES 24002
ANTH 24002,HIST 18302
ANTH 24002,SOSC 24002
ANTH 24003,CRES 24003
ANTH 24003,HIST 18303
ANTH 24003,SALC 20702
ANTH 24003,SOSC 24003
ANTH 24101,SALC 20100
ANTH 24101,HIST 10800
ANTH 24101,SASC 20000
ANTH 24101,SOSC 23000
ANTH 24102,SALC 20200
ANTH 24102,HIST 10900
ANTH 24102,SASC 20100
ANTH 24102,SOSC 23100
ANTH 24315,CHDV 23301
ANTH 24315,ANTH 35115
ANTH 24315,CHDV 33301
ANTH 24315,HIPS 27302
ANTH 24320,CHDV 21000
ANTH 24320,AMER 33000
ANTH 24320,ANTH 35110
ANTH 24320,CHDV 31000
ANTH 24320,GNSE 21001
ANTH 24320,GNSE 31000
ANTH 24320,PSYC 23000
ANTH 24320,PSYC 33000
ANTH 24511,ANTH 34502
ANTH 24511,CHDV 38101
ANTH 24511,CRES 34501
ANTH 24511,MAPS 34500
ANTH 24511,SOSC 34500
ANTH 24512,CRES 34502
ANTH 24512,SOSC 34600
ANTH 24705,ANTH 34705
ANTH 24800,ANTH 54800
ANTH 25103,ARTV 24113
ANTH 25103,ANTH 35103
ANTH 25103,ARTV 34113
ANTH 25116,CHDV 25116
ANTH 25116,INST 27701
ANTH 25117,INST 27702
ANTH 25200,ANTH 43800
ANTH 25200,GNDR 25201
ANTH 25200,GNDR 43800
ANTH 25305,ANTH 35305
ANTH 25310,BPRO 22800
ANTH 25310,BIOS 02280
ANTH 25325,ANTH 35325
ANTH 25401,SOCI 20150
ANTH 25401,ANTH 35401
ANTH 25401,SOCI 30150
ANTH 25500,ANTH 42600
ANTH 25500,SALC 20900
ANTH 25500,SALC 30900
ANTH 25510,ENGL 24308
ANTH 25905,NEHC 30765
ANTH 25905,EEUR 23400
ANTH 25905,EEUR 33400
ANTH 25905,MUSI 23503
ANTH 25905,MUSI 33503
ANTH 25905,NEHC 20765
ANTH 26020,ANTH 46020
ANTH 26315,ANTH 36315
