ANTH 20100,A. Kolata
ANTH 20405,M. Fred
ANTH 20535,C. Howe
ANTH 20701,E. Osborn
ANTH 20702,J. Cole
ANTH 21015,D. Boyer
ANTH 21102,R. Tuttle
ANTH 21107,Staff
ANTH 21201,M. Dietler
ANTH 21217,M. Dietler
ANTH 21225,S. Dawdy
ANTH 21230,J. Lucy
ANTH 21251,J. Farquhar
ANTH 21254,S. Dawdy
ANTH 21255,F. Richard
ANTH 21264,J. Kelly
ANTH 21265,M. Dietler
ANTH 21303,M. Lycett
ANTH 21305,J. Fernandez
ANTH 21322,K. Morrison
ANTH 21401,M. Lycett
ANTH 21406,R. Tuttle
ANTH 21420,Staff
ANTH 21610,S. Gal
ANTH 21725,M. Fisch
ANTH 22000,A. Kolata
ANTH 22105,J. Masco
ANTH 22123,J. Masco
ANTH 22125,K. Sunder Rajan
ANTH 22130,M. Fisch
ANTH 22150,M. Fisch
ANTH 22205,S. Palmié
ANTH 22400,J. Masco
ANTH 22530,J. Chu
ANTH 22535,C. Nakassis
ANTH 22606,J. Richland
ANTH 22609,J. Richland
ANTH 22710,J. Kelly
ANTH 22715,J. Kelly
ANTH 22910,W. T. S. Mazzarella
ANTH 23101,"R. Granados-Salinas, R. Gutiérrez"
ANTH 23102,M. Tenorio
ANTH 23103,D. Borges
ANTH 23600,J. Farquhar
ANTH 23620,J. Farquhar
ANTH 23630,J. Chu
ANTH 23715,J. Kelly
ANTH 23805,J. Masco
ANTH 24001,Unknown
ANTH 24002,Unknown
ANTH 24003,Unknown
ANTH 24101,M. Alam
ANTH 24102,D. Chakrabarty
ANTH 24315,E. Raikhel
ANTH 24320,R. Shweder
ANTH 24511,M. Fred
ANTH 24512,M. Fred
ANTH 24705,J. Richland
ANTH 24800,J. Masco
ANTH 25103,"B. Callender, C. Sullivan"
ANTH 25116,L. Jasarevic
ANTH 25117,L. Jasarevic
ANTH 25200,S. Gal
ANTH 25305,J. Farquhar
ANTH 25310,"M. Dietler, W. Green"
ANTH 25325,J. Kelly
ANTH 25401,K. Knorr Cetina
ANTH 25410,J. Farquhar
ANTH 25500,W. Mazzarella
ANTH 25510,"L. Gandhi, W. Mazzarella"
ANTH 25900,K. Morrison
ANTH 25905,K. Arik
ANTH 26020,S. Dawdy
ANTH 26315,Unknown
ANTH 26320,F. Gaitan-Ammann
ANTH 26325,F. Gaitan-Ammann
ANTH 26505,K. Morrison
ANTH 26710,S. Branting
ANTH 26711,S. Branting
ANTH 26715,Unknown
ANTH 26830,F. Richard
ANTH 26900,A. Yao
ANTH 27130,M. Silverstein
ANTH 27135,M. Silverstein
ANTH 27300,M. Silverstein
ANTH 27305,D. Kulick
ANTH 27400,V. Friedman
ANTH 27505,S. Gal
ANTH 27510,S. Gal
ANTH 27605,J. Lucy
ANTH 27700,V. Friedman
ANTH 27705,Salikoko Mufwene
ANTH 28010,R. Martin
ANTH 28100,R. Tuttle
ANTH 28200,M. Lycett and P. Drake
ANTH 28210,"M. Lycett, K. Morrison"
ANTH 28300,R. Tuttle
ANTH 28400,M. C. Lozada
ANTH 28420,A. Yao
ANTH 28510,F. Richard
ANTH 28600,R. Tuttle
ANTH 28702,F. Richard
ANTH 29105,K. Morrison
ANTH 29500,"F. Richard, S. Dawdy"
ANTH 29700,Unknown
ANTH 29900,Unknown
ANTH 29910,Unknown
ARTH 10100,Unknown
ARTH 14107,R. Neer
ARTH 14115,P. Crowley
ARTH 14215,P. Crowley
ARTH 14505,H. Badamo
ARTH 14700,N. Atkinson
ARTH 15600,M. Jackson; T. Zhurauliova
ARTH 16100,Wu Hung
ARTH 16211,C. Fromont
ARTH 16460,M. Sullivan
ARTH 16800,C. Foxwell
ARTH 16809,P. Berlekamp
ARTH 17015,H. Badamo
ARTH 17400,K. Taylor
ARTH 17410,K. Taylor
ARTH 17612,C. Cohen
ARTH 17700,M. Ward
ARTH 17735,M. Sullivan
ARTH 18000,J. Snyder
ARTH 18202,T. Zhurauliova
ARTH 21202,S. Caviglia-Brunel
ARTH 21205,M. Sullivan
ARTH 21415,P. Crowley
ARTH 22550,H. Badamo
ARTH 22808,V. Sancho Lobis
ARTH 23113,V. Salinger
ARTH 23400,P. Berlekamp
ARTH 23603,S. Caviglia-Brunel
ARTH 24812,M. Ward
ARTH 26201,"D. N. Rodowick, V. Burgin"
ARTH 26301,R. Zorach
ARTH 26400,J. Snyder
ARTH 26707,Yanfei. Zhu
ARTH 26803,K. Taylor
ARTH 27215,C. Mehring
ARTH 27304,J. Snyder
ARTH 27808,J. Lopez
ARTH 28204,M. Hunter
ARTH 29600,Unknown
ARTH 29700,Unknown
ARTH 29704,"C. Foxwell, J. Ketelaar"
ARTH 29800,Unknown
ARTH 29900,Unknown
ASTR 18100,R. Kron
ASTR 18200,N. Gnedin
ASTR 18300,D. Harper
ASTR 20000,Unknown
ASTR 21300,L. Grossman 
ASTR 23000,"W. Schweiker, D. York"
ASTR 24100,H.-W. Chen
ASTR 24200,W. Hu
ASTR 28200,D. Harper
ASTR 29700,Unknown
PHSC 11900,"R. Rosner, Autumn; S. Meyer, Winter. L: A. Kravtsov, Autumn; P. Privitera, Winter"
PHSC 12000,"E. Kolb, Winter; S. Dodelson, Spring. L: P. Privitera, Winter; J. Carlstrom, Spring"
PHYS 29100,Unknown
PHYS 29200,Unknown
PHYS 29300,Unknown
BPRO 21500,"R. Schultz, M. Browning."
BPRO 22200,"W. Wimsatt, Staff"
BPRO 22300,Staff
BPRO 22400,"M. Merritt, Staff"
BPRO 22600,"D. Brudney, J. Lantos"
BPRO 22610,"D. Brudney, Staff"
BPRO 22800,"M. Dietler, W. Green"
BPRO 23000,"W. Schweiker, D. York"
BPRO 23400,"L. Mets, Staff"
BPRO 23500,"W. Sterner, Staff"
BPRO 23600,"J. Cacioppo, M. McClintock, L. Waite"
BPRO 23760,"J. Cacioppo, L. Hawkley"
BPRO 23800,"J. Cacioppo, E. Oliver, S. Cacioppo"
BPRO 23900,"W. Wimsatt, S. Mufwene"
BPRO 24000,"H. Nusbaum, B. Keysar, B. Hoeckner, A. Henly"
BPRO 24100,"R. Perlman, Staff"
BPRO 24150,"D. Orlinsky, Staff"
BPRO 24160,"D. Orlinsky, Staff"
BPRO 24200,"M. McClintock, J. Quintans"
BPRO 24300,"M. Rothenberg, Staff"
BPRO 24400,"S. Bartsch, J. Goldstein"
BPRO 24500,"S. Mufwene, W. Wimsatt"
BPRO 24600,"S. Bartch, Staff"
BPRO 24700,"M. Rothenberg, Staff"
BPRO 24800,"J. Malamy, Staff"
BPRO 24900,"H. Pollack, J. Schneider"
BPRO 25000,"J. Ketelaar, Staff"
BPRO 25100,"R. Richards, Staff"
BPRO 25200,Staff
BPRO 25300,"L. Berlant, R. Zorach"
BPRO 26050,Staff
BPRO 26101,"D. Orlinsky, Staff"
BPRO 26400,"W. J. T. Mitchell, J. Hoffman"
BPRO 26500,"J. Stockholder, S. Reddy"
BPRO 26600,"Y. Tsivian, Staff"
BPRO 26700,"M. Lowrie, R. Morrissey"
BPRO 27000,"P. La Riviere, Staff"
BPRO 27600,"P. Friedrich, Staff"
BPRO 28000,"M. Browning, Staff"
BPRO 28100,"M. Browning, Staff"
BPRO 28500,"L. Berlant, Staff"
BPRO 28600,"E. Lyon, H. Saussy"
BPRO 29000,"S. Berry, G. Tolley"
BPRO 29100,"J. Shapiro, M. Long"
BIOS 10130,Unknown
BIOS 10450,R. Zaragoza
BIOS 10451,R. Zaragoza
BIOS 10500,M. Osadjan
BIOS 10501,P. Strieleman
BIOS 10602,"D. Kondrashov, E. Kovar"
BIOS 10603,E. Haddadian
BIOS 11119,M. Osadjan
BIOS 11125,"A. Turkewitz, M. Nobrega"
BIOS 11128,T. Christianson
BIOS 11129,S. Crosson
BIOS 11140,N. Bhasin
BIOS 12107,M. Musch
BIOS 12114,P. Strieleman
BIOS 12115,"M. Gupta, K. Birukov"
BIOS 12116,M. McNulty
BIOS 12117,N. Shubin
BIOS 12118,K. Knutson
BIOS 13107,T. Price
BIOS 13111,E. Larsen
BIOS 13112,E. Larsen
BIOS 13115,"P. Sierwald, R. Bieler"
BIOS 13123,D. Jablonski
BIOS 13125,S. Pruett-Jones
BIOS 13126,E. Larsen
BIOS 13128,A. Hunter
BIOS 13131,A. Hunter
BIOS 13140,E. Larsen
BIOS 14112,M. McNulty
BIOS 14114,R. Zaragoza
BIOS 15106,S. Boyle-Vavra
BIOS 15115,M. Villereal
BIOS 15119,B. Fineschi
BIOS 20150,"M. Hale, M. McNulty, C. Andrews, Staff"
BIOS 20151,D. Kondrashov
BIOS 20152,D. Kondrashov
BIOS 20170,"L. Mets, C. Andrews, R. Zaragoza, E. Kovar"
BIOS 20171,"T. Christianson, C. Schonbaum, R. Zaragoza, C. Andrews"
BIOS 20172,E. Haddadian
BIOS 20173,"C. Andrews, E. Kovar"
BIOS 20175,P. Strieleman
BIOS 20186,"Variant A: G. Lamppa, A. Imamoto, T Christianson. Variant B: L. Mets, B. Glick, C. Schonbaum."
BIOS 20187,"Variant A: Staff, T. Christianson. Winter. Variant B: Staff, C. Schonbaum, E. Kovar. Winter. L.."
BIOS 20188,"D. McGehee, D. Hanck, M. Osadjan, C. Andrews"
BIOS 20189,"R. Ho, S. Horne-Badovinac, C. Schonbaum, E. Kovar"
BIOS 20190,"A. Imamoto, W. Du"
BIOS 20191,M. Osadjan
BIOS 20196,"C. Pfister, E. Larsen"
BIOS 20197,"S. Allesina, M. Kronforst, C. Andrews"
BIOS 20198,"M. LaBarbera, C. Andrews"
BIOS 20234,"M. Glotzer, A. Ruthenburg, N. Bhasin. L."
BIOS 20235,"I. Rebay, R. Hudson, N. Bhasin. L."
BIOS 20236,"E. Munro, M. Rust, E. Kovar."
BIOS 20242,"M. Feder, E. Kovar. "
BIOS 20200,"M. Makinen, P. Strieleman, L. "
