ANTH 20100,
ANTH 20405,
ANTH 20535,
ANTH 20701,
ANTH 20702,
ANTH 21015,
ANTH 21102,
ANTH 21107,
ANTH 21201,
ANTH 21217,
ANTH 21225,
ANTH 21230,"This Course will not be offered 2014-15
"
ANTH 21251,
ANTH 21254,
ANTH 21255,
ANTH 21264,
ANTH 21265,
ANTH 21303,"ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
"
ANTH 21305,
ANTH 21322,
ANTH 21401,
ANTH 21406,
ANTH 21420,
ANTH 21610,
ANTH 21725,
ANTH 22000,
ANTH 22105,
ANTH 22123,
ANTH 22125,
ANTH 22130,
ANTH 22150,
ANTH 22205,
ANTH 22400,
ANTH 22530,
ANTH 22535,
ANTH 22606,
ANTH 22609,
ANTH 22710,
ANTH 22715,
ANTH 22910,
ANTH 23101,
ANTH 23102,
ANTH 23103,
ANTH 23600,
ANTH 23620,
ANTH 23630,
ANTH 23715,
ANTH 23805,
ANTH 24001,"This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
"
ANTH 24002,"This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
"
ANTH 24003,"This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
"
ANTH 24101,
ANTH 24102,
ANTH 24315,
ANTH 24320,
ANTH 24511,
ANTH 24512,
ANTH 24705,
ANTH 24800,
ANTH 25103,"Maximum enrollment of 20 students. Mixed enrollment limited to third- and fourth-year undergraduate students and graduate students or consent of instructors.
"
ANTH 25116,
ANTH 25117,
ANTH 25200,
ANTH 25305,
ANTH 25310,
ANTH 25325,
ANTH 25401,
ANTH 25410,
ANTH 25500,
ANTH 25510,"undefined
"
ANTH 25900,
ANTH 25905,
ANTH 26020,
ANTH 26315,
ANTH 26320,
ANTH 26325,
ANTH 26505,
ANTH 26710,
ANTH 26711,
ANTH 26715,
ANTH 26830,
ANTH 26900,
ANTH 27130,
ANTH 27135,
ANTH 27300,
ANTH 27305,"Not offered 2014-15
"
ANTH 27400,
ANTH 27505,
ANTH 27510,
ANTH 27605,"Not offered 2014-15
"
ANTH 27700,
ANTH 27705,
ANTH 28010,
ANTH 28100,
ANTH 28200,
ANTH 28210,
ANTH 28300,
ANTH 28400,
ANTH 28420,
ANTH 28510,
ANTH 28600,"BIOS 23241 recommended. Autumn course at University of Chicago Center in Paris; Spring course on campus.
"
ANTH 28702,
ANTH 29105,
ANTH 29500,"Undergraduates may take this course only once for credit. 
"
ANTH 29700,"Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either a quality grade or for P/F grading.
"
ANTH 29900,"Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either a quality grade or for P/F grading. For honors requirements, see Honors section under Program Requirements.
"
ANTH 29910,"Open only to students currently writing BA honors papers.
"
ARTH 10100,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 14107,
ARTH 14115,
ARTH 14215,
ARTH 14505,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 14700,
ARTH 15600,
ARTH 16100,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 16211,
ARTH 16460,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 16800,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 16809,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 17015,
ARTH 17400,"tudents must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 17410,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 17612,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 17700,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 17735,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 18000,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 18202,"Students must attend first class to confirm enrollment. This course meets the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 21202,
ARTH 21205,
ARTH 21415,
ARTH 22550,
ARTH 22808,
ARTH 23113,
ARTH 23400,
ARTH 23603,"Students who take this course for French credit must do the readings and assignments in French.
"
ARTH 24812,
ARTH 26201,
ARTH 26301,
ARTH 26400,"This course does not meet the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 26707,
ARTH 26803,
ARTH 27215,
ARTH 27304,
ARTH 27808,
ARTH 28204,
ARTH 29600,"Required of third-year students who are majoring in art history; open to nonmajors with consent of instructor. This course does not meet the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 29700,"Students are required to submit the College Reading and Research Form. Must be taken for a quality grade. With adviser's approval, students who are majoring in art history may use this course to satisfy requirements for the major, a special field, or electives. This course is also open to nonmajors with advanced standing. This course does not meet the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 29704,
ARTH 29800,"Required of fourth-year students who are majoring in art history. This course does not meet the general education requirement in the dramatic, musical, and visual arts.
"
ARTH 29900,"Students are required to submit the College Reading and Research Form. May be taken for P/F grading with consent of instructor. This course may not count toward the twelve courses required in the major. This course does not meet the general education requirement in the dramatic, musical, and visual arts.
"
ASTR 18100,
ASTR 18200,
ASTR 18300,
ASTR 20000,"Class limited to six students. Available for either quality grades or for P/F grading. 
"
ASTR 21300,"This course is offered in alternate years.
"
ASTR 23000,
ASTR 24100,
ASTR 24200,
ASTR 28200,
ASTR 29700,"Students are required to submit the College Reading and Research Course Form. Available for either quality grades or for P/F grading. Students may register for this course for as many quarters as they wish; they need not work with the same faculty member each time.
"
PHSC 11900,
PHSC 12000,
PHYS 29100,"Students are required to submit the College Reading and Research Course Form in Autumn Quarter. Students receive a grade in each quarter of registration: P/F grading in Autumn and Winter Quarters, and a quality grade in Spring Quarter.
"
PHYS 29200,"Students are required to submit the College Reading and Research Course Form in Autumn Quarter. Students receive a grade in each quarter of registration: P/F grading in Autumn and Winter Quarters, and a quality grade in Spring Quarter.
"
PHYS 29300,"Students are required to submit the College Reading and Research Course Form in Autumn Quarter. Students receive a grade in each quarter of registration: P/F grading in Autumn and Winter Quarters, and a quality grade in Spring Quarter.
"
BPRO 21500,
BPRO 22200,
BPRO 22300,
BPRO 22400,
BPRO 22600,
BPRO 22610,"This course does not meet requirements for the biological science major. 
"
BPRO 22800,
BPRO 23000,
BPRO 23400,"Background in environmental issues not required
"
BPRO 23500,
BPRO 23600,
BPRO 23760,"This course does not meet the requirements for the biological sciences major.
"
BPRO 23800,
BPRO 23900,"This course does not meet requirements for the biological sciences major. 
"
BPRO 24000,
BPRO 24100,
BPRO 24150,"The class meets for six hours a week.
"
BPRO 24160,
BPRO 24200,"This course meets requirements for the biological sciences major. 
"
BPRO 24300,
BPRO 24400,
BPRO 24500,
BPRO 24600,
BPRO 24700,
BPRO 24800,
BPRO 24900,"This course does not meet requirements for the biological sciences major. 
"
BPRO 25000,
BPRO 25100,
BPRO 25200,
BPRO 25300,
BPRO 26050,
BPRO 26101,
BPRO 26400,
BPRO 26500,
BPRO 26600,
BPRO 26700,
BPRO 27000,"This course does not meet requirements for the biological sciences major. 
"
BPRO 27600,
BPRO 28000,
BPRO 28100,
BPRO 28500,
BPRO 28600,
BPRO 29000,
BPRO 29100,"This course does not meet requirements for the biological sciences major. 
"
BIOS 10130,
BIOS 10450,
BIOS 10451,
BIOS 10500,
BIOS 10501,"Credit may not be earned for both BIOS 10501 and BIOS 12114. 
"
BIOS 10602,
BIOS 10603,
BIOS 11119,
BIOS 11125,
BIOS 11128,
BIOS 11129,
BIOS 11140,
BIOS 12107,
BIOS 12114,"Credit may not be earned for both BIOS 12114 and BIOS 10501
"
BIOS 12115,
BIOS 12116,
BIOS 12117,
BIOS 12118,
BIOS 13107,
BIOS 13111,
BIOS 13112,
BIOS 13115,
BIOS 13123,
BIOS 13125,
BIOS 13126,
BIOS 13128,
BIOS 13131,
BIOS 13140,
BIOS 14112,
BIOS 14114,
BIOS 15106,
BIOS 15115,
BIOS 15119,
BIOS 20150,
BIOS 20151,
BIOS 20152,
BIOS 20170,
BIOS 20171,
BIOS 20172,
BIOS 20173,
BIOS 20175,
BIOS 20186,
BIOS 20187,
BIOS 20188,"Variant A.
"
BIOS 20189,"Variant B.
"
BIOS 20190,"Variant A.
"
BIOS 20191,
BIOS 20196,"BIOS 20196 is identical to the previously offered BIOS 23251.  Students who have taken BIOS 23251 should not enroll in BIOS 20196. 
"
